unit_id,year,month,amount,payment_date,payment_method
1,2024,July,200,,Cash
1,2024,August,200,,Cash
1,2024,September,200,,Cash
1,2024,October,200,,Cash
1,2024,November,0,,Cash
1,2024,December,0,,Cash
2,2024,July,200,,Cash
2,2024,August,200,,Cash
2,2024,September,200,,Cash
2,2024,October,200,,Cash
2,2024,November,0,,Cash
2,2024,December,0,,Cash
3,2024,July,200,,Cash
3,2024,August,0,,Cash
3,2024,September,0,,Cash
3,2024,October,0,,Cash
3,2024,November,0,,Cash
3,2024,December,0,,Cash
4,2024,July,200,,Cash
4,2024,August,200,,Cash
4,2024,September,0,,Cash
4,2024,October,0,,Cash
4,2024,November,0,,Cash
4,2024,December,0,,Cash
11,2024,July,200,,Cash
11,2024,August,200,,Cash
11,2024,September,0,,Cash
11,2024,October,0,,Cash
11,2024,November,0,,Cash
11,2024,December,0,,Cash
12,2024,July,200,,Cash
12,2024,August,200,,Cash
12,2024,September,200,,Cash
12,2024,October,200,,Cash
12,2024,November,0,,Cash
12,2024,December,0,,Cash
13,2024,July,200,,Cash
13,2024,August,200,,Cash
13,2024,September,200,,Cash
13,2024,October,200,,Cash
13,2024,November,0,,Cash
13,2024,December,0,,Cash
14,2024,July,200,,Cash
14,2024,August,200,,Cash
14,2024,September,200,,Cash
14,2024,October,200,,Cash
14,2024,November,0,,Cash
14,2024,December,0,,Cash
21,2024,July,200,,Cash
21,2024,August,200,,Cash
21,2024,September,200,,Cash
21,2024,October,200,,Cash
21,2024,November,0,,Cash
21,2024,December,0,,Cash
22,2024,July,200,,Electronic
22,2024,August,200,,Electronic
22,2024,September,200,,Electronic
22,2024,October,200,,Electronic
22,2024,November,0,,Electronic
22,2024,December,0,,Electronic
23,2024,July,200,,Cash
23,2024,August,0,,Cash
23,2024,September,0,,Cash
23,2024,October,0,,Cash
23,2024,November,0,,Cash
23,2024,December,0,,Cash
24,2024,July,200,,Cash
24,2024,August,200,,Cash
24,2024,September,200,,Cash
24,2024,October,200,,Cash
24,2024,November,200,,Cash
24,2024,December,0,,Cash
31,2024,July,200,,Cash
31,2024,August,200,,Cash
31,2024,September,200,,Cash
31,2024,October,200,,Cash
31,2024,November,0,,Cash
31,2024,December,0,,Cash
32,2024,July,200,,Cash
32,2024,August,200,,Cash
32,2024,September,200,,Cash
32,2024,October,200,,Cash
32,2024,November,0,,Cash
32,2024,December,0,,Cash
33,2024,July,200,,Cash
33,2024,August,200,,Cash
33,2024,September,200,,Cash
33,2024,October,200,,Cash
33,2024,November,0,,Cash
33,2024,December,0,,Cash
34,2024,July,200,,Cash
34,2024,August,200,,Cash
34,2024,September,200,,Cash
34,2024,October,200,,Cash
34,2024,November,0,,Cash
34,2024,December,0,,Cash
41,2024,July,200,,Cash
41,2024,August,200,,Cash
41,2024,September,200,,Cash
41,2024,October,200,,Cash
41,2024,November,0,,Cash
41,2024,December,0,,Cash
42,2024,July,200,,Cash
42,2024,August,200,,Cash
42,2024,September,0,,Cash
42,2024,October,0,,Cash
42,2024,November,0,,Cash
42,2024,December,0,,Cash
43,2024,July,200,,Cash
43,2024,August,200,,Cash
43,2024,September,200,,Cash
43,2024,October,200,,Cash
43,2024,November,0,,Cash
43,2024,December,0,,Cash
44,2024,July,200,,Cash
44,2024,August,200,,Cash
44,2024,September,200,,Cash
44,2024,October,0,,Cash
44,2024,November,0,,Cash
44,2024,December,0,,Cash
51,2024,July,200,,Cash
51,2024,August,200,,Cash
51,2024,September,200,,Cash
51,2024,October,200,,Cash
51,2024,November,200,,Cash
51,2024,December,0,,Cash
52,2024,July,200,,Cash
52,2024,August,200,,Cash
52,2024,September,200,,Cash
52,2024,October,200,,Cash
52,2024,November,200,,Cash
52,2024,December,200,,Cash
53,2024,July,200,,Cash
53,2024,August,200,,Cash
53,2024,September,200,,Cash
53,2024,October,200,,Cash
53,2024,November,200,,Cash
53,2024,December,200,,Cash
54,2024,July,0,,Cash
54,2024,August,0,,Cash
54,2024,September,0,,Cash
54,2024,October,0,,Cash
54,2024,November,0,,Cash
54,2024,December,0,,Cash
61,2024,July,200,,Cash
61,2024,August,200,,Cash
61,2024,September,200,,Cash
61,2024,October,200,,Cash
61,2024,November,0,,Cash
61,2024,December,0,,Cash
62,2024,July,200,,Cash
62,2024,August,200,,Cash
62,2024,September,0,,Cash
62,2024,October,0,,Cash
62,2024,November,0,,Cash
62,2024,December,0,,Cash
63,2024,July,200,,Cash
63,2024,August,200,,Cash
63,2024,September,200,,Cash
63,2024,October,200,,Cash
63,2024,November,0,,Cash
63,2024,December,0,,Cash
64,2024,July,200,,Cash
64,2024,August,200,,Cash
64,2024,September,200,,Cash
64,2024,October,200,,Cash
64,2024,November,0,,Cash
64,2024,December,0,,Cash